Date,CL=F,GC=F,^FTSE,^GSPC,^NSEI
2018-06-15,65.05999755859375,1274.5999755859375,7633.89990234375,2779.659912109375,10817.7001953125
2018-06-18,65.8499984741211,1276.199951171875,7631.2998046875,2773.75,10799.849609375
2018-06-19,65.06999969482422,1275.5999755859375,7603.89990234375,2762.590087890625,10710.4501953125
2018-06-20,66.22000122070312,1271.199951171875,7627.39990234375,2767.320068359375,10772.0498046875
2018-06-21,65.54000091552734,1267.199951171875,7556.39990234375,2749.760009765625,10741.099609375
2018-06-22,68.58000183105469,1267.4000244140625,7682.2998046875,2754.8798828125,10821.849609375
2018-06-25,68.08000183105469,1265.5999755859375,7509.7998046875,2717.070068359375,10762.4501953125
2018-06-26,70.52999877929688,1256.5999755859375,7537.89990234375,2723.06005859375,10769.150390625
2018-06-27,72.76000213623047,1252.800048828125,7621.7001953125,2699.6298828125,10671.400390625
2018-06-28,73.44999694824219,1247.800048828125,7615.60009765625,2716.31005859375,10589.099609375
2018-06-29,74.1500015258789,1251.300048828125,7636.89990234375,2718.3701171875,10714.2998046875
2018-07-02,73.94000244140625,1239.800048828125,7547.89990234375,2726.7099609375,10657.2998046875
2018-07-03,74.13999938964844,1251.5999755859375,7593.2998046875,2713.219970703125,10699.900390625
2018-07-04,,,7573.10009765625,,10769.900390625
2018-07-05,72.94000244140625,1257.300048828125,7603.2001953125,2736.610107421875,10749.75
2018-07-06,73.80000305175781,1254.300048828125,7617.7001953125,2759.820068359375,10772.650390625
2018-07-09,73.8499984741211,1258.0999755859375,7688.0,2784.169921875,10852.900390625
2018-07-10,74.11000061035156,1253.800048828125,7692.0,2793.840087890625,10947.25
2018-07-11,70.37999725341797,1242.800048828125,7592.0,2774.02001953125,10948.2998046875
2018-07-12,70.33000183105469,1245.0,7651.2998046875,2798.2900390625,11023.2001953125
2018-07-13,71.01000213623047,1239.5999755859375,7661.89990234375,2801.31005859375,11018.900390625
